"district","first","last","id","affiliation","user_id","screen_name","chamber"
"GA-07","Rob","Woodall","1307","1","152018565","votewoodall","0"
"IA-02","Dave","Loebsack","1902","2","510516465","daveloebsack","0"
"IL-02","Robin","Kelly","1702","2","1339931490","RepRobinKelly","0"
"IL-03","Dan","Lipinski","1703","2","1009269193","RepLipinski","0"
"IL-07","Danny","Davis","1707","2","0",,"0"
"IL-08","Tammy","Duckworth","1708","2","1058520120","RepDuckworth","0"
"IL-10","Brad","Schneider","1710","2","1071840474","RepSchneider","0"
"IL-12","Bill","Enyart","1712","2","1068470480","RepBillEnyart","0"
"IL-13","Rodney","Davis","1713","1","993153006","RodneyDavis","0"
"LA-01","Steve","Scalise","2201","1","1209417007","SteveScalise","0"
"MA-07","Mike","Capuano","2507","2","75785294","mikecapuano","0"
"MD-01","Andy","Harris","2401","1","960962340","RepAndyHarrisMD","0"
"MN-07","Collin","Peterson","2707","2","0",,"0"
"MO-03","Blaine","Luetkemeyer","2903","1","0","RepBlainePress","0"
"MO-06","Sam","Graves","2906","1","190328374",,"0"
"MO-08","Jason","Smith","2908","1","296245061","RepJasonSmith","0"
"NJ-04","Chris","Smith","3404","1","1289319271","RepChrisSmith","0"
"NV-02","Mark","Amodei","3202","1","402719755","MarkAmodeiNV2","0"
"OH-12","Pat","Tiberi","3912","1","912608010","TiberiPress","0"
"PA-13","Allyson","Schwartz","4213","2","1335517206","SchwartzAllyson","0"
"SC-01","Mark","Sanford","4501","1","28423263","MarkSanford","0"
"TN-02","John","Duncan","4702","1","1883356866","RepJohnDuncanJr","0"
"TX-04","Ralph","Hall","4804","1","1154894353","RalphHallPress","0"
"UT-01","Rob","Bishop","4901","1","148006729","RepRobBishop","0"
"WI-06","Tom","Petri","5506","1","0",,"0"
"WV-03","Nick","Rahall","5403","2","0",,"0"
"null","John","Boozman","5","1","5558312","JohnBoozman","1"
"null","Jim","Inhofe","40","1","7270292","jiminhofe","1"
"null","Al","Franken","27","2","7334402","alfranken","1"
"null","Mark","Warner","51","2","7429102","MarkWarner","1"
"null","Tom","Udall","35","2","8128442","MarkUdall","1"
"null","Chuck","Grassley","19","1","10615232","ChuckGrassley","1"
"null","John","Cornyn","48","1","13218102","JohnCornyn","1"
"null","John","Kerry","25","2","15007149","JohnKerry","1"
"null","Chris","Coons","10","2","15324851","ChrisCoons","1"
